,date,adobe_close,adobe_vol,adobe_intra_perc_change,adobe_intra_returns,adobe_pct_change,adobe_pct_returns,adobe_previous_close,adobe_opening_change,adobe_opening_returns,adobe_target,adobe_intra_target,adobe_open_target
1,2010-03-30,35.68,3469800,0.2794857462269464,1,-0.0016787912702854735,1,35.74,0.1119194180190239,1,-1,1,1
2,2010-03-31,35.37,4436700,0.7018528916339136,1,-0.008688340807174955,1,35.68,-0.16816143497758484,-1,-1,1,-1
3,2010-04-01,35.74,5467700,-0.5627462014631481,1,0.010460842521911262,1,35.37,0.48063330506079077,1,1,-1,1
4,2010-04-05,35.99,5267100,-0.8688340807174951,1,0.006994963626189232,1,35.74,-0.16787912702854582,-1,1,-1,-1
5,2010-04-06,35.7,4211400,-0.3937007874015764,1,-0.008057793831619864,1,35.99,-1.1947763267574316,-1,-1,-1,-1
6,2010-04-07,35.06,6632100,1.4060742407199098,1,-0.017927170868347386,1,35.7,-0.3921568627450996,-1,-1,1,-1
7,2010-04-08,34.94,5726800,0.2569226377390905,1,-0.003422703936109661,1,35.06,-0.0855675984027414,-1,-1,1,-1
8,2010-04-09,35.47,7205500,-2.6034133641885986,1,0.01516886090440761,1,34.94,-1.0589582140812748,-1,1,-1,-1
9,2010-04-12,35.02,5690600,1.12930547713156,1,-0.012686777558500006,1,35.47,-0.140964195094438,-1,-1,1,-1
10,2010-04-13,34.75,5825700,0.31554790590935006,1,-0.007709880068532349,1,35.02,-0.45688178183895967,-1,-1,1,-1
11,2010-04-14,35.02,5037400,-1.1261911637308708,1,0.007769784172662053,1,34.75,-0.3453237410071869,-1,1,-1,-1
12,2010-04-15,34.39,9548000,1.9948703334283349,1,-0.01798972015990874,1,35.02,0.19988577955454107,1,-1,1,1
13,2010-04-16,34.0,12718300,1.5634047481181215,1,-0.011340505961035197,1,34.39,0.43617330619365685,1,-1,1,1
14,2010-04-19,33.82,6817200,-0.0295770482105827,1,-0.0052941176470587825,1,34.0,-0.5588235294117581,-1,-1,-1,-1
15,2010-04-20,34.93,8632000,-2.164375548405973,1,0.032820816085156634,1,33.82,1.0940272028385494,1,1,-1,1
16,2010-04-21,34.92,6889200,-0.3448275862069096,1,-0.0002862868594331047,1,34.93,-0.372172917263105,-1,-1,-1,-1
17,2010-04-22,35.97,11650000,-1.5814741598418594,1,0.030068728522336663,1,34.92,1.4032073310423678,1,1,-1,1
18,2010-04-23,36.25,6528500,-1.1439732142857046,1,0.007784264664998597,1,35.97,-0.36141228801777997,-1,1,-1,-1
19,2010-04-26,36.15,5610500,0.1657000828500477,1,-0.0027586206896552667,1,36.25,-0.11034482758620454,-1,-1,1,-1
20,2010-04-27,35.34,6938700,1.5873015873015686,1,-0.022406639004149298,1,36.15,-0.6639004149377649,-1,-1,1,-1
21,2010-04-28,35.47,5290000,0.028184892897401382,1,0.0036785512167514245,1,35.34,0.39615166949630287,1,1,1,1
22,2010-04-29,34.96,10958300,0.8789339381911035,1,-0.014378347899633437,1,35.47,-0.563856780377772,-1,-1,1,-1
23,2010-04-30,33.6,12735800,3.9176436945953603,1,-0.0389016018306636,1,34.96,0.02860411899312932,1,-1,1,1
24,2010-05-03,33.59,8863200,0.26722090261281567,1,-0.00029761904761893554,1,33.6,0.238095238095233,1,-1,1,1
25,2010-05-04,33.14,11030000,-0.06038647342996113,1,-0.013396844298898536,1,33.59,-1.3992259601071924,-1,-1,-1,-1
26,2010-05-05,32.96,12226200,-0.8567931456548383,1,-0.005431502715751324,1,33.14,-1.3880506940253496,-1,-1,-1,-1
27,2010-05-06,32.49,14650200,0.9451219512194976,1,-0.014259708737864085,1,32.96,-0.4854368932038947,-1,-1,1,-1
28,2010-05-07,32.42,14897300,1.0378510378510266,1,-0.0021545090797168154,1,32.49,0.8310249307479102,1,-1,1,1
29,2010-05-10,34.28,11416600,-4.6717557251908435,1,0.0573719925971623,1,32.42,1.01789019123997,1,1,-1,1
30,2010-05-11,33.8,6929000,0.44182621502210806,1,-0.014002333722287208,1,34.28,-0.9626604434072296,-1,-1,1,-1
31,2010-05-12,34.8,7973900,-1.9929660023446654,1,0.029585798816567976,1,33.8,0.9467455621301784,1,1,-1,1
32,2010-05-13,34.41,4958000,1.0922678930727294,1,-0.011206896551724133,1,34.8,-0.02873563218390233,-1,-1,1,-1
33,2010-05-14,33.72,6832100,1.5186915887850558,1,-0.02005231037489097,1,34.41,-0.49404242952628485,-1,-1,1,-1
34,2010-05-17,33.81,6235300,0.5002942907592544,1,0.002669039145907659,1,33.72,0.7710557532621531,1,1,1,1
35,2010-05-18,33.28,6208900,1.304863582443647,1,-0.015675835551612005,1,33.81,-0.2661934338953073,-1,-1,1,-1
36,2010-05-19,32.88,6098200,1.0234798314268403,1,-0.012019230769230727,1,33.28,-0.18028846153846836,-1,-1,1,-1
37,2010-05-20,31.74,8094200,1.4285714285714421,1,-0.034671532846715425,1,32.88,-2.0681265206812642,-1,-1,1,-1
38,2010-05-21,32.18,7758200,-3.306581059390052,1,0.013862633900441068,1,31.74,-1.8588531821045993,-1,1,-1,-1
39,2010-05-24,31.63,6543800,0.5971087366436244,1,-0.017091361093847124,1,32.18,-1.1187072715972637,-1,-1,1,-1
40,2010-05-25,31.55,6368800,-2.601626016260165,1,-0.0025292443882389826,1,31.63,-2.782168827062912,-1,-1,-1,-1
41,2010-05-26,30.94,8820600,2.2432859399683958,1,-0.01933438985736924,1,31.55,0.31695721077653843,1,-1,1,1
42,2010-05-27,32.2,7496400,-2.189781021897814,1,0.040723981900452566,1,30.94,1.8422753716871372,1,1,-1,1
43,2010-05-28,32.08,8778900,0.3417210313762021,1,-0.003726708074534346,1,32.2,-0.0310559006211339,-1,-1,1,-1
44,2010-06-01,32.13,9744400,0.7107540173053055,1,0.0015586034912720148,1,32.08,0.872817955112223,1,1,1,1
45,2010-06-02,32.94,7213700,-2.0762317942361155,1,0.025210084033613356,1,32.13,0.4357298474945552,1,1,-1,1
46,2010-06-03,32.9,8847400,0.06075334143378835,1,-0.0012143290831815312,1,32.94,-0.060716454159065035,-1,-1,1,-1
47,2010-06-04,31.59,8507500,1.7418351477449416,1,-0.03981762917933129,1,32.9,-2.2796352583586628,-1,-1,1,-1
48,2010-06-07,31.06,8385500,2.0189274447949543,1,-0.01677746122190571,1,31.59,0.34821145932256864,1,-1,1,1
49,2010-06-08,31.0,7767400,0.4815409309791287,1,-0.0019317450096586475,1,31.06,0.28976175144880834,1,-1,1,1
50,2010-06-09,30.73,5808400,1.3166345536287738,1,-0.0087096774193548,1,31.0,0.4516129032258083,1,-1,1,1
51,2010-06-10,31.72,5666800,-1.2125079770261615,1,0.03221607549625771,1,30.73,1.9850309144158782,1,1,-1,1
52,2010-06-11,31.73,7233200,-1.666132649791732,1,0.00031525851197988786,1,31.72,-1.6078184110970932,-1,1,-1,-1
53,2010-06-14,31.7,5240100,0.9375000000000022,1,-0.0009454774661203924,1,31.73,0.8509297195083504,1,-1,1,1
54,2010-06-15,32.51,5930200,-1.9441831295076748,1,0.025552050473186094,1,31.7,0.5993690851735056,1,1,-1,1
55,2010-06-16,32.44,4614500,-0.18529956763432726,1,-0.002153183635804412,1,32.51,-0.39987696093508296,-1,-1,-1,-1
56,2010-06-17,33.12,7250700,-1.5328019619865114,1,0.020961775585696563,1,32.44,0.554870530209617,1,1,-1,1
57,2010-06-18,33.52,9514000,-1.2077294685990512,1,0.012077294685990614,1,33.12,0.0,-1,1,-1,-1
58,2010-06-21,33.13,5762500,1.8951732306781182,1,-0.011634844868735117,1,33.52,0.7458233890214797,1,-1,1,1
59,2010-06-22,32.76,9593600,1.7396520695860989,1,-0.01116812556595248,1,33.13,0.633866586175674,1,-1,1,1
60,2010-06-23,30.38,35847400,6.089644513137565,1,-0.07264957264957261,1,32.76,-1.251526251526241,-1,-1,1,-1
61,2010-06-24,30.26,20287000,0.3293807641633658,1,-0.0039499670836075085,1,30.38,-0.06583278472679255,-1,-1,1,-1
62,2010-06-25,29.85,15030600,1.9060138021689068,1,-0.01354923992068735,1,30.26,0.5617977528089826,1,-1,1,1
63,2010-06-28,28.72,14508100,3.785594639866005,1,-0.03785594639866008,1,29.85,0.0,-1,-1,1,-1
64,2010-06-29,26.9,22062500,5.181529784984146,1,-0.0633704735376045,1,28.72,-1.2186629526462323,-1,-1,1,-1
65,2010-06-30,26.43,17468400,1.4541387024608523,1,-0.01747211895910772,1,26.9,-0.2973977695167223,-1,-1,1,-1
66,2010-07-01,26.66,15728500,-0.5279034690799418,1,0.008702232311766922,1,26.43,0.3405221339387055,1,1,-1,1
67,2010-07-02,26.73,10420400,-0.14986886474334635,1,0.0026256564141036165,1,26.66,0.11252813203301251,1,1,-1,1
68,2010-07-06,26.34,13509200,3.090507726269315,1,-0.014590347923681302,1,26.73,1.6835016835016807,1,-1,1,1
69,2010-07-07,26.79,11753300,-1.7084282460136646,1,0.017084282460136713,1,26.34,0.0,-1,1,-1,-1
70,2010-07-08,26.85,8852000,0.40801186943619966,1,0.002239641657334923,1,26.79,0.6345651362448739,1,1,1,1
71,2010-07-09,27.2,5317000,-1.265822784810126,1,0.013035381750465369,1,26.85,0.03724394785846559,1,1,-1,1
72,2010-07-12,27.09,7012700,0.6600660066006591,1,-0.004044117647058809,1,27.2,0.2573529411764716,1,-1,1,1
73,2010-07-13,28.11,13577900,-2.778793418647159,1,0.03765227021040962,1,27.09,0.9597637504614306,1,1,-1,1
74,2010-07-14,28.03,9457100,0.4969826056088057,1,-0.0028459622909995375,1,28.11,0.2134471718249814,1,-1,1,1
75,2010-07-15,28.22,4838200,-1.0021474588403636,1,0.006778451658936868,1,28.03,-0.32108455226542937,-1,1,-1,-1
76,2010-07-16,27.39,7254200,3.1128404669260665,1,-0.02941176470588225,1,28.22,0.17717930545712515,1,-1,1,1
77,2010-07-19,27.67,5151900,-0.6181818181818244,1,0.010222709017889686,1,27.39,0.40160642570280913,1,1,-1,1
78,2010-07-20,27.87,5690600,-2.538631346578371,1,0.007228044813877732,1,27.67,-1.7708709794000794,-1,1,-1,-1
79,2010-07-21,27.67,8314700,0.9663564781675003,1,-0.0071761750986724104,1,27.87,0.2511661284535353,1,-1,1,1
80,2010-07-22,28.58,6138500,-2.4005732712289434,1,0.03288760390314405,1,27.67,0.8673653776653358,1,1,-1,1
81,2010-07-23,29.23,7703200,-2.2027972027971994,1,0.022743177046886,1,28.58,0.06997900629812151,1,1,-1,1
82,2010-07-26,29.17,5061800,-0.06861063464838123,1,-0.0020526855969893454,1,29.23,-0.27369141293192556,-1,-1,-1,-1
83,2010-07-27,29.22,5175400,-0.06849315068493005,1,0.0017140898183063413,1,29.17,0.10284538909838047,1,1,-1,1
84,2010-07-28,28.69,4451700,1.4428031604259641,1,-0.01813826146475006,1,29.22,-0.376454483230662,-1,-1,1,-1
85,2010-07-29,28.7,5320300,0.17391304347826333,1,0.0003485535029625897,1,28.69,0.2091321017776184,1,1,1,1
86,2010-07-30,28.72,4531500,-1.1267605633802829,1,0.0006968641114981633,1,28.7,-1.0452961672473893,-1,1,-1,-1
87,2010-08-02,29.6,5584700,-1.6832703538303055,1,0.03064066852367686,1,28.72,1.3579387186629548,1,1,-1,1
88,2010-08-03,29.12,5651900,1.2211668928086818,1,-0.016216216216216273,1,29.6,-0.4054054054054087,-1,-1,1,-1
89,2010-08-04,29.7,6700600,-1.9217570350034272,1,0.019917582417582347,1,29.12,0.06868131868131722,1,1,-1,1
90,2010-08-05,29.44,4612600,-0.10200612036722591,1,-0.008754208754208737,1,29.7,-0.9764309764309735,-1,-1,-1,-1
91,2010-08-06,29.23,5149200,-0.5849965588437773,1,-0.007133152173913082,1,29.44,-1.2907608695652262,-1,-1,-1,-1
92,2010-08-09,29.52,3483400,-0.40816326530612584,1,0.009921313718782132,1,29.23,0.5815942524803221,1,1,-1,1
93,2010-08-10,29.17,4063200,0.20526855969893507,1,-0.011856368563685549,1,29.52,-0.9823848238482357,-1,-1,1,-1
94,2010-08-11,28.25,7505800,2.011793270898364,1,-0.03153925265683932,1,29.17,-1.1655810764484176,-1,-1,1,-1
95,2010-08-12,28.08,7694000,-1.0071942446043078,1,-0.00601769911504435,1,28.25,-1.5929203539822985,-1,-1,-1,-1
96,2010-08-13,28.01,6625500,-0.32234957020057253,1,-0.00249287749287741,1,28.08,-0.5698005698005577,-1,-1,-1,-1
97,2010-08-16,27.36,6334500,1.6534867002156752,1,-0.023205997857908,1,28.01,-0.6783291681542352,-1,-1,1,-1
98,2010-08-17,27.96,6817500,-1.6727272727272757,1,0.021929824561403466,1,27.36,0.5116959064327506,1,1,-1,1
99,2010-08-18,28.1,4006400,-1.1155091759625848,1,0.005007153075822668,1,27.96,-0.6080114449213222,-1,1,-1,-1
100,2010-08-19,27.69,5126700,0.6458557588805157,1,-0.014590747330960885,1,28.1,-0.8185053380782933,-1,-1,1,-1
101,2010-08-20,27.92,5253800,-0.6488824801730472,1,0.008306247742867479,1,27.69,0.18057060310580408,1,1,-1,1
102,2010-08-23,27.82,4413600,0.9611961552153776,1,-0.003581661891117527,1,27.92,0.6088825214899647,1,-1,1,1
103,2010-08-24,27.93,7822400,-1.3425253991291763,1,0.003953989935298274,1,27.82,-0.9345794392523421,-1,1,-1,-1
