ID,saleprice
2658,188486.93248600647
2718,186363.62823718486
2414,217369.29143522627
1989,124913.34423177154
625,170801.48240269252
333,84377.30898561278
1327,96283.62209130575
858,118354.54251141516
95,225438.6789952777
1568,166226.475640555
2482,168115.57727981082
1364,135112.49154595195
2584,150120.74708602446
818,346756.9139917495
2673,170277.0669390518
2089,127121.20161579896
1297,191859.6422871619
790,117370.53525838493
2616,204137.97741265412
720,221214.60986746495
222,125190.12887951473
557,136847.51137094048
1148,205226.48058414322
2766,153981.08755109797
534,189696.60871726787
1452,100084.87936499137
630,145976.29297106026
2648,142448.44506591422
125,151140.28583019593
1904,25584.74929990503
1670,101217.72170259262
756,102021.46280609594
717,281332.9980190808
1032,130734.4697388661
852,216486.6312916166
1731,205367.9951359469
2639,106323.86529046597
2071,85655.98515159938
1267,114161.44272993
1851,210649.01111302857
567,177100.9533657584
2439,222915.61712585832
1898,164755.59027557613
647,141514.8126260836
2256,218151.54197650554
979,87155.1916359052
1444,244069.5467571587
2485,111714.1556642633
157,121386.57140164371
88,115484.37950274057
2003,98884.5439369756
186,292026.77885340137
1425,265576.2053392549
2695,128090.09792518627
738,105172.78434962504
395,159480.54702228974
1353,203318.41482722957
1878,149693.9658587856
390,186106.61769546944
1456,264274.0461245311
1103,300432.7183857983
1387,123315.03490490279
2070,132550.96476805242
1199,193534.3147465257
2479,187928.73893409423
501,293456.0378377743
2362,51429.628008053536
1718,187636.23466911828
2188,35311.1619722381
1483,148725.595391362
2557,78822.90810389446
437,307437.52977481415
2224,170671.6019495013
1628,197766.61143971208
397,120440.76796832035
587,188928.3021198322
2182,491758.4896269353
971,155021.75470005482
2611,137366.60531172625
1887,92852.14997802688
2399,304668.13681453216
2148,209224.1857457519
304,155572.84788123964
1997,133843.79467851447
2817,152666.0873977106
1431,214815.4669894986
427,326050.7736090814
263,122719.8629022913
598,168090.7198022399
2895,236690.30174769842
687,177349.21139128832
1822,121669.95786728032
2191,112794.69981622632
179,142367.7676826754
1009,224471.94930256833
2010,131754.29811782052
1991,156805.88722929117
1411,138099.28849323955
1721,244940.03445223748
1144,217212.78792611486
593,254256.87954959107
575,266131.9883868916
1249,190901.45613208084
1604,113002.70622346817
1064,359406.2182662934
1923,136032.94180785248
1988,82104.02786833853
2325,178717.49853114627
114,224805.55317335244
2700,202254.88028051876
217,136717.5997919541
343,189580.2362605512
386,256768.62863631774
2005,127637.80847258936
2908,98668.6021931004
1814,221260.88250814154
2446,429509.5478981328
208,190955.7152427645
1679,140447.40576055352
822,304723.7393077262
6,188769.8313401253
1781,357191.6333539551
2397,275139.5298692609
2340,279567.8694392093
1618,175726.03970574873
2843,158895.61483283504
1061,346131.79031837673
2786,95426.3442824614
1935,121885.93905679916
1341,138056.348218379
521,292744.39104348887
2136,123159.91159539172
996,203054.22341991225
227,137311.24878642772
135,156442.5500660233
1167,196527.77588674327
294,222516.6337549272
1776,211860.44654311068
540,183836.40797639196
1717,187636.23466911828
2303,106990.86121956371
116,194905.0660754407
127,122408.30708136818
1371,150132.30108375283
1014,157724.55101265328
1507,94596.16038347884
702,165367.6664219264
750,190298.62550819322
261,146852.83941486778
1559,61121.8764008452
577,205620.68940712675
2812,225786.44145704084
2080,154146.3534236675
1368,121616.01285379747
2376,108158.25425988974
659,98547.37424127579
1235,112509.46878585067
332,62956.28071300419
1917,144022.91893070852
2094,274366.5091302166
1460,299807.7411342859
1471,198345.17669078868
1509,115853.39608911859
1922,113046.26178980258
433,381379.28578686586
460,256612.45580973502
1116,255232.00604965305
1137,173526.56597689373
53,188007.42050072792
2354,267290.62473147054
1475,204970.70433295984
1761,472861.61199920013
842,135127.982114075
2739,157481.4996292766
2509,194778.5247867687
1007,220864.37904649516
2610,175610.01974892706
1952,74805.47729855489
2719,185890.50032300074
2921,83774.10936306001
1966,125954.92755013306
292,120787.48475676321
1204,222219.8756290485
1829,257078.9030132534
2419,205765.97575635734
391,169274.53848505756
798,130553.19815917063
481,214218.12551038605
193,213061.1952360289
555,118846.53861202998
899,66050.8614991368
2357,211817.73823684812
328,109694.88069971775
1356,136459.22172313766
1154,91838.47065299956
1730,179813.65909930182
2249,147758.5584426783
1119,292554.57150676305
2856,128096.82569333763
1394,138077.7573969291
2587,133629.44576220113
61,313466.5442844096
2661,235817.4887175893
2711,122474.23330717016
1147,195240.35556134197
757,161985.18661860633
2623,84867.42040741786
2378,173925.62240932428
1413,146490.81749870433
1722,225230.27199479175
1112,222526.89339865436
1623,205970.49588189984
1201,200375.78846393124
1513,99448.56126297245
957,251052.54052331566
1171,267721.763465737
1145,218731.97418301203
2726,216984.79521495546
703,169359.02535746718
760,59234.84482970735
1964,125947.0005191763
2512,218857.14575170196
159,163356.38142104182
1281,188865.335717918
468,183561.64141479073
290,131315.0084598915
665,108844.69072759447
1463,292001.048557812
1792,240035.60610835368
923,113864.31700933009
500,278801.0833433529
1408,130497.55702344197
331,52626.44170662764
170,126032.5301020274
2192,67895.01492268326
2571,343517.1905404187
2314,178368.36817336065
2647,82539.33471301103
422,363322.26142812613
2457,309291.9786673225
1838,200883.3731702458
2805,267611.8838725874
1645,181520.11990999
1711,287897.16543342697
2825,251527.85987610507
322,300389.53030258464
2103,267832.6741595847
342,129516.00962810963
600,91176.62494097777
488,198770.9288725584
1725,282864.805840556
2246,251642.4977582725
2847,159756.30984328268
806,253458.7180683095
530,248330.9067811602
963,196184.47700144202
2678,69234.12798803646
171,75636.98250485813
2401,344882.4665697325
805,236531.12298112107
2259,221329.8845917395
1748,208706.69523890127
1361,147246.87525430942
1677,134303.43654084764
1406,138817.87750697974
2322,231195.7011450971
688,177252.23852848858
143,126505.90210905322
804,227478.62073962408
1214,169315.704020204
2828,168294.47577315572
1999,226116.79355758676
2467,222677.40737678515
2665,212423.7570478256
1538,378502.9233264073
398,105778.31034307166
2822,127953.5780489155
2157,148423.9955800856
1856,160204.3180270191
1269,107700.22517451683
2570,103196.66360466996
2320,269716.4149419424
1517,163030.90095584717
2304,86055.22228098447
1312,113965.58805977611
2012,140177.6123584482
506,222208.3128970569
2865,203742.3161938127
2367,122626.82828764917
554,112416.57345382191
238,139593.58981351386
1954,89827.99915075209
2488,189185.43710567316
2291,85583.70823071832
1969,96065.65503464274
2725,162297.9814389131
1482,148725.595391362
2763,223095.61087637433
503,258999.46681636767
1584,239046.59319446608
1531,171212.17420943943
2210,193788.43487084756
459,298975.6721969842
556,117064.6851995287
1347,174643.64919111237
1290,76756.64805928861
1388,77719.96731450164
1571,194723.31224352316
2754,211916.74796399876
765,146433.90004934053
2494,102858.63184500675
2870,194828.2159299368
7,241658.2938553636
1114,237236.79052821203
2418,286401.2665010784
291,165645.75763360492
18,298907.82564879797
39,298978.01165955205
1001,241489.61991751302
2442,243242.01341338377
616,123005.66311660489
2680,47825.6287057634
1414,133624.81703676406
289,144470.38703334332
40,263183.2489907331
860,119653.14544008052
409,147296.88253329406
673,172699.10941954155
