date,latitude,longitude,wnvpresent,preciptotal,tavg*wetbulb,wetbulb*dewpoint,tavg*wetbulb*dewpoint,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS,species_UNSPECIFIED CULEX
2007-05-29,41.95469,-87.800991,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.95469,-87.800991,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.994991,-87.769279,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.974089,-87.824812,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.974089,-87.824812,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.9216,-87.666455,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.891118,-87.65449100000002,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.867108,-87.654224,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.867108,-87.654224,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.896282,-87.655232,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.919343,-87.694259,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.921965,-87.632085,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.921965,-87.632085,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.688324,-87.676709,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.688324,-87.676709,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.862292,-87.64886,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.720848,-87.666014,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.731922,-87.677512,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.731922,-87.677512,0.0,0.0,4945.25,3831.75,289297.125,1,0,0,0,0,0,0
2007-05-29,41.891126,-87.61156,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.891126,-87.61156,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.999129,-87.795585,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,42.01743,-87.68776899999997,0.0,0.0,4945.25,3831.75,289297.125,0,1,0,0,0,0,0
2007-05-29,41.907645,-87.760886,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-05-29,41.732984,-87.649642,0.0,0.0,4945.25,3831.75,289297.125,0,0,1,0,0,0,0
2007-06-05,41.95469,-87.800991,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.95469,-87.800991,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.95469,-87.800991,0.0,0.345,2909.75,2446.25,138213.125,1,0,0,0,0,0,0
2007-06-05,41.974089,-87.824812,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.974089,-87.824812,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.9216,-87.666455,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.9216,-87.666455,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.9216,-87.666455,0.0,0.345,2909.75,2446.25,138213.125,1,0,0,0,0,0,0
2007-06-05,41.891118,-87.65449100000002,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.867108,-87.654224,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.867108,-87.654224,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.867108,-87.654224,0.0,0.345,2909.75,2446.25,138213.125,1,0,0,0,0,0,0
2007-06-05,41.896282,-87.655232,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.919343,-87.694259,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.919343,-87.694259,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.921965,-87.632085,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.688324,-87.676709,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.720848,-87.666014,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.731922,-87.677512,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.731922,-87.677512,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.731922,-87.677512,0.0,0.345,2909.75,2446.25,138213.125,1,0,0,0,0,0,0
2007-06-05,41.999129,-87.795585,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
2007-06-05,41.999129,-87.795585,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.907645,-87.760886,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.732984,-87.649642,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.98196400000001,-87.812827,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.944869,-87.832763,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,42.011601,-87.81150600000002,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.94983,-87.69845699999998,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.979243,-87.750938,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.986921,-87.689778,0.0,0.345,2909.75,2446.25,138213.125,0,0,1,0,0,0,0
2007-06-05,41.801498,-87.763416,0.0,0.345,2909.75,2446.25,138213.125,0,1,0,0,0,0,0
